Date,Weekday,Pid,Name,Begin Time,End Time,Last Time
2017-05-03,Wed,5096,PresentationFontCache.exe,14:12:53,,
2017-05-03,Wed,4048,ApplicationFrameHost.exe,14:12:53,,
2017-05-03,Wed,1580,igfxCUIService.exe,14:12:53,,
2017-05-03,Wed,996,svchost.exe,14:12:53,,
2017-05-03,Wed,632,svchost.exe,14:12:53,,
2017-05-03,Wed,828,lsass.exe,14:12:53,,
2017-05-03,Wed,13296,chrome.exe,14:12:53,,
2017-05-03,Wed,2792,svchost.exe,14:12:53,,
2017-05-03,Wed,2472,service.exe,14:12:53,,
2017-05-03,Wed,4740,Microsoft.Photos.exe,14:12:53,,
2017-05-03,Wed,12508,wwbizsrv.exe,14:12:53,,
2017-05-03,Wed,2884,taskhostw.exe,14:12:53,,
2017-05-03,Wed,10324,TaobaoProtect.exe,14:12:53,,
2017-05-03,Wed,6084,TabTip32.exe,14:12:53,,
2017-05-03,Wed,1100,svchost.exe,14:12:53,,
2017-05-03,Wed,13256,chrome.exe,14:12:53,,
2017-05-03,Wed,10796,explorer.exe,14:12:53,,
2017-05-03,Wed,916,aliwssv.exe,14:12:53,,
2017-05-03,Wed,2364,CAJSHost.exe,14:12:53,,
2017-05-03,Wed,9400,pycharm64.exe,14:12:53,,
2017-05-03,Wed,9044,chrome.exe,14:12:53,,
2017-05-03,Wed,492,dwm.exe,14:12:53,,
2017-05-03,Wed,4156,WizChromeProcess.exe,14:12:53,,
2017-05-03,Wed,1324,svchost.exe,14:12:53,,
2017-05-03,Wed,5700,LogonUI.exe,14:12:53,,
2017-05-03,Wed,13848,windowmsgserver64.exe,14:12:53,,
2017-05-03,Wed,7580,WizChromeProcess.exe,14:12:53,,
2017-05-03,Wed,1768,WUDFHost.exe,14:12:53,,
2017-05-03,Wed,10388,SystemSettingsBroker.exe,14:12:53,,
2017-05-03,Wed,10432,pwasearch.exe,14:12:53,,
2017-05-03,Wed,384,SearchUI.exe,14:12:53,,
2017-05-03,Wed,5376,WmiPrvSE.exe,14:14:00,,
2017-05-03,Wed,0,System Idle Process,14:12:53,,
2017-05-03,Wed,4664,TabTip.exe,14:12:53,,
2017-05-03,Wed,2432,DptfParticipantDisplayService.exe,14:12:53,,
2017-05-03,Wed,8764,RemindersServer.exe,14:12:53,,
2017-05-03,Wed,344,svchost.exe,14:12:53,,
2017-05-03,Wed,11420,dwm.exe,14:12:53,,
2017-05-03,Wed,4716,vmware-hostd.exe,14:12:53,,
2017-05-03,Wed,2428,svchost.exe,14:12:53,,
2017-05-03,Wed,6228,SearchIndexer.exe,14:12:53,,
2017-05-03,Wed,1040,svchost.exe,14:12:53,,
2017-05-03,Wed,5704,chrome.exe,14:12:53,,
2017-05-03,Wed,5100,svchost.exe,14:12:53,,
2017-05-03,Wed,2088,sihost.exe,14:12:53,,
2017-05-03,Wed,3012,AppleMobileDeviceService.exe,14:12:53,,
2017-05-03,Wed,7648,SearchFilterHost.exe,14:12:59,,
2017-05-03,Wed,5900,SkypeHost.exe,14:12:53,,
2017-05-03,Wed,9304,WizChromeProcess.exe,14:12:53,,
2017-05-03,Wed,2456,ekrn.exe,14:12:53,,
2017-05-03,Wed,2556,IpOverUsbSvc.exe,14:12:53,,
2017-05-03,Wed,696,csrss.exe,14:12:53,,
2017-05-03,Wed,3096,vmware-usbarbitrator64.exe,14:12:53,,
2017-05-03,Wed,2528,svchost.exe,14:12:53,,
2017-05-03,Wed,12924,conhost.exe,14:12:53,,
2017-05-03,Wed,11996,FileGee.exe,14:12:53,,
2017-05-03,Wed,11608,smartscreen.exe,14:12:53,,
2017-05-03,Wed,5904,RuntimeBroker.exe,14:12:53,,
2017-05-03,Wed,3392,svchost.exe,14:12:53,,
2017-05-03,Wed,584,vmnetdhcp.exe,14:12:53,,
2017-05-03,Wed,1940,svchost.exe,14:12:53,,
2017-05-03,Wed,4328,Pen_Tablet.exe,14:12:53,,
2017-05-03,Wed,11820,dllhost.exe,14:12:53,,
2017-05-03,Wed,2704,QQProtect.exe,14:12:53,,
2017-05-03,Wed,13572,WizChromeProcess.exe,14:12:53,,
2017-05-03,Wed,404,smss.exe,14:12:53,,
2017-05-03,Wed,2672,pcas.exe,14:12:53,,
2017-05-03,Wed,11396,Wiz.exe,14:12:53,,
2017-05-03,Wed,4,System,14:12:53,,
2017-05-03,Wed,2784,ViakaraokeSrv.exe,14:12:53,,
2017-05-03,Wed,11148,acrotray.exe,14:12:53,,
2017-05-03,Wed,2356,armsvc.exe,14:12:53,,
2017-05-03,Wed,13768,OneDrive.exe,14:12:53,,
2017-05-03,Wed,6388,windowmsgserver32.exe,14:12:53,,
2017-05-03,Wed,8840,sppsvc.exe,14:14:00,,
2017-05-03,Wed,2824,Memory Compression,14:12:53,,
2017-05-03,Wed,2372,mDNSResponder.exe,14:12:53,,
2017-05-03,Wed,12340,ktpcntr.exe,14:12:53,,
2017-05-03,Wed,2712,sqlwriter.exe,14:12:53,,
2017-05-03,Wed,684,wininit.exe,14:12:53,,
2017-05-03,Wed,7604,jusched.exe,14:12:53,,
2017-05-03,Wed,2348,DptfParticipantProcessorService.exe,14:12:53,,
2017-05-03,Wed,1616,SettingSyncHost.exe,14:12:53,,
2017-05-03,Wed,3088,vmware-authd.exe,14:12:53,,
2017-05-03,Wed,9484,spoolsv.exe,14:12:53,,
2017-05-03,Wed,4360,conhost.exe,14:12:53,,
2017-05-03,Wed,4752,WmiPrvSE.exe,14:12:53,,
2017-05-03,Wed,1776,svchost.exe,14:12:53,,
