Date,Weekday,Pid,Name,Begin Time,End Time,Last Time
2017-05-03,Wed,1912,SearchFilterHost.exe,14:12:53,14:12:59,0:0:6
2017-05-03,Wed,7320,python.exe,14:13:30,14:13:36,0:0:6
2017-05-03,Wed,13780,conhost.exe,14:13:30,14:13:36,0:0:6
2017-05-03,Wed,2804,sublime_text.exe,14:12:53,14:13:48,0:0:55
2017-05-03,Wed,10456,plugin_host.exe,14:12:53,14:13:48,0:0:55
2017-05-03,Wed,7688,LocationNotificationWindows.exe,14:13:54,14:14:00,0:0:6
2017-05-03,Wed,536,dllhost.exe,14:14:00,14:14:06,0:0:6
2017-05-03,Wed,3076,LocationNotificationWindows.exe,14:14:00,14:14:13,0:0:13
2017-05-03,Wed,4764,POWERPNT.EXE,14:13:54,14:14:25,0:0:31
2017-05-03,Wed,11856,chrome.exe,14:12:53,,
2017-05-03,Wed,6000,PowerWord.exe,14:12:53,,
2017-05-03,Wed,2756,dasHost.exe,14:12:53,,
2017-05-03,Wed,924,svchost.exe,14:12:53,,
2017-05-03,Wed,3136,Serv-U-Tray.exe,14:12:53,,
2017-05-03,Wed,8208,LocationNotificationWindows.exe,14:14:25,,
2017-05-03,Wed,816,svchost.exe,14:12:53,,
2017-05-03,Wed,11504,fsnotifier64.exe,14:12:53,,
2017-05-03,Wed,7784,chrome.exe,14:12:53,,
2017-05-03,Wed,11196,Serv-U.exe,14:12:53,,
2017-05-03,Wed,596,csrss.exe,14:12:53,,
2017-05-03,Wed,8148,powerwordkuaiyi.exe,14:12:53,,
2017-05-03,Wed,2420,DptfPolicyLpmService.exe,14:12:53,,
2017-05-03,Wed,7460,fontdrvhost.exe,14:12:53,,
2017-05-03,Wed,6304,ChsIME.exe,14:12:53,,
2017-05-03,Wed,2732,Pen_TouchUser.exe,14:12:53,,
2017-05-03,Wed,820,services.exe,14:12:53,,
2017-05-03,Wed,768,winlogon.exe,14:12:53,,
2017-05-03,Wed,12552,powerwordhelper.exe,14:12:53,,
2017-05-03,Wed,6652,CBGrabConnect_x64.exe,14:12:53,,
2017-05-03,Wed,11656,ShellExperienceHost.exe,14:12:53,,
2017-05-03,Wed,2968,TBSecSvc.exe,14:12:53,,
2017-05-03,Wed,3172,msdtc.exe,14:12:53,,
2017-05-03,Wed,2396,svchost.exe,14:12:53,,
2017-05-03,Wed,13364,chrome.exe,14:12:53,,
2017-05-03,Wed,2388,AGSService.exe,14:12:53,,
2017-05-03,Wed,6972,SearchProtocolHost.exe,14:12:53,,
2017-05-03,Wed,3276,svchost.exe,14:12:53,,
2017-05-03,Wed,6916,csrss.exe,14:12:53,,
2017-05-03,Wed,5352,conhost.exe,14:12:53,,
2017-05-03,Wed,2696,secbizsrv.exe,14:12:53,,
2017-05-03,Wed,9644,Music.UI.exe,14:12:53,,
2017-05-03,Wed,9584,python.exe,14:12:53,,
2017-05-03,Wed,7448,chrome.exe,14:12:53,,
2017-05-03,Wed,1864,WTabletServiceCon.exe,14:12:53,,
2017-05-03,Wed,9848,ipgwclient.exe,14:12:53,,
2017-05-03,Wed,13032,winlogon.exe,14:12:53,,
2017-05-03,Wed,10700,vmnat.exe,14:12:53,,
2017-05-03,Wed,10136,svchost.exe,14:12:53,,
2017-05-03,Wed,3352,taskhostw.exe,14:12:53,,
2017-05-03,Wed,1360,svchost.exe,14:12:53,,
